Date,America,France,Britain,Italy,China,Germany
2016/1/7,-20.06593139,2.058455816,4.925458216,4.013585203,7.545517584,1.522914567
2016/1/8,-28.57100238,3.974013702,6.756243682,6.289949717,7.86225753,3.688537746
2016/1/11,-20.12655128,3.496591177,4.761990258,3.632518986,7.265016907,0.97043395
2016/1/12,-32.01884104,6.948152465,7.67705631,6.67158209,3.423090142,7.298960033
2016/1/13,-31.10218986,7.045920211,7.170826815,6.284847,3.662069074,6.93852676
2016/1/14,-49.72931405,10.98325778,12.03927106,11.5174997,0.710510543,14.47877496
2016/1/15,-51.17538909,11.21860158,12.62942841,12.07454685,0.346018049,14.9067942
2016/1/19,-52.10005025,11.29271325,12.7457311,12.36935462,0.16446863,15.52778265
2016/1/20,-54.64415535,11.69167949,13.39637994,13.44873615,-1.188101337,17.29546112
2016/1/21,-51.12090424,11.50463382,12.62416904,12.76528284,-3.104079069,17.33089762
2016/1/22,-55.32313182,11.50482303,13.56419701,14.06378613,-2.242418772,18.43274443
2016/1/25,-55.03220892,11.81663265,13.84737426,14.41872088,-3.863468141,18.81294927
2016/1/26,-50.93592232,11.18675701,12.92947627,13.36876668,-4.38763805,17.83856042
2016/1/27,-45.23002314,10.12703006,12.09716365,12.09407468,-5.460852089,16.37260684
2016/1/28,-35.52422806,7.697861366,9.813457,9.414643512,-4.966736768,13.56500295
2016/1/29,-5.740113185,-1.754394933,1.403060903,-0.897816363,7.853782717,-0.86451914
2016/2/1,-26.64724597,4.635728079,8.141594449,7.20626263,-4.27403164,10.93769246
2016/2/2,-53.04697495,9.9207372,14.38709172,13.55922525,-3.313592889,18.49351367
2016/2/3,-47.19307611,8.958846699,13.00015802,12.12633452,-3.450206248,16.55794312
2016/2/4,-46.58783587,8.97224895,12.81119709,12.17631721,-4.12938217,16.75745479
2016/2/5,-13.19980146,1.925053328,4.096106379,2.585122258,0.908662574,3.684856922
2016/2/8,-10.62177285,0.753083913,2.667326076,0.549076408,6.505765202,0.146521246
2016/2/9,-9.657098933,0.813417124,2.620834666,0.80265589,4.725499384,0.694691869
2016/2/10,-9.716582946,0.970895292,2.9020978,1.243301564,3.018591731,1.581696559
2016/2/11,-10.29180027,1.47923978,3.30700092,1.826770494,1.064774637,2.614014439
2016/2/12,-14.88029112,2.639645812,4.636818518,3.368774258,-0.386357141,4.621409674
2016/2/16,-19.26978286,3.803377809,6.044076442,5.094072131,-2.678459018,7.006715497
2016/2/17,-17.10099321,3.261491852,5.546323365,4.242444375,-1.990333196,6.041066812
2016/2/18,-21.28287308,4.560194279,7.048276135,5.721776321,-4.370882162,8.32350851
2016/2/19,-24.43196866,5.30870497,7.938073488,6.601683799,-5.018393593,9.601899993
2016/2/22,-23.01358364,4.999388516,7.361662829,6.096567818,-3.986111838,8.542076315
2016/2/23,-25.38331244,5.784048034,8.062194398,6.536117885,-4.37087296,9.371825084
2016/2/24,-25.74584692,5.664687129,8.179018888,6.793541886,-4.310653615,9.419252632
2016/2/25,-24.53267969,5.777952355,8.531070014,6.699234261,-6.406892275,9.931315335
2016/2/26,-22.76973094,5.243814951,8.031047049,6.27100363,-5.814606905,9.038472214
2016/2/29,-24.06055174,5.946071278,8.557156366,6.575335151,-6.92312808,9.905117028
2016/3/1,-23.51585167,5.75308,8.239817857,6.365911871,-6.145785066,9.302827009
2016/3/2,-21.52629714,5.613765853,8.072634783,6.043003454,-7.46475427,9.261647322
2016/3/3,-17.40031652,4.812572453,7.143952235,5.239139494,-8.055233694,8.259886033
2016/3/4,-22.51430394,6.305271152,8.591297126,6.854182015,-9.134986161,9.89853981
2016/3/7,-23.79267093,6.6589583,9.214202949,7.116066107,-9.432104877,10.23554845
2016/3/8,-21.83438045,5.919235592,8.54429278,6.558638237,-8.726727616,9.538941458
2016/3/9,-27.78695803,7.33022899,10.74848608,8.020666699,-9.854062475,11.54163874
2016/3/10,-26.4837846,6.88552881,10.31778464,7.63702945,-9.430974156,11.07441585
2016/3/11,-27.8772888,7.639573456,11.144433,8.413399969,-11.25324656,11.93312894
2016/3/14,-23.03348278,6.796566929,9.570371794,7.275795448,-10.91987345,10.31062206
2016/3/15,-31.7143561,9.071538843,12.81221508,9.830206383,-13.49119786,13.49159366
2016/3/16,-34.08109582,9.820057628,14.20957186,10.91328967,-15.7055726,14.84374926
2016/3/17,-29.91321571,9.275866483,13.28111199,10.20034038,-16.67906192,13.83495877
2016/3/18,-7.158973254,3.868903556,4.31727556,3.784020418,-9.221820571,4.410594292
2016/3/21,-15.6169177,7.121269496,6.711403281,6.936494715,-11.82199005,6.669740262
2016/3/22,-14.10748954,9.711239806,9.382580539,9.674972836,-14.82422571,0.162922068
2016/3/23,-37.2115789,13.19431842,14.35882042,14.45763352,-14.14679704,9.347603582
2016/3/24,-37.21476474,13.30622553,13.81010869,14.67457064,-14.36761996,9.791479835
2016/3/28,-37.94424992,13.63182349,13.83821617,14.8745576,-14.27959478,9.879247438
2016/3/29,-38.27099785,14.70607811,11.18601026,15.8708453,-14.37065409,10.87871827
2016/3/30,-38.06144364,16.51909104,12.65314731,17.42680493,-13.0259315,4.488331859
2016/3/31,-43.28838801,18.35184623,10.05267015,18.90630796,-9.528634046,5.506197717
2016/4/1,-43.55049594,18.35045743,10.22175745,18.79359937,-9.846080135,6.030761828
2016/4/4,-44.32897156,18.42612407,10.45850565,18.87898105,-10.03224547,6.597606268
2016/4/5,-43.87549234,18.52415705,9.977688196,18.77831678,-10.36857397,6.963904294
2016/4/6,-41.47925112,18.15072448,10.16074359,18.47714659,-13.29025299,7.98088945
2016/4/7,-46.64132838,19.04387239,11.16171585,19.75973641,-12.45354224,9.129545978
2016/4/8,-52.63390893,23.81395054,16.4400809,4.880122695,-8.205284211,15.70503901
2016/4/11,-15.61702188,24.78820099,17.03523678,-30.0739752,-11.72556293,15.59312224
2016/4/12,-14.6034536,24.62384565,17.87113389,-30.45965732,-12.68834752,15.2564789
2016/4/13,-14.20546513,24.48868363,18.13448591,-30.58695986,-13.07472561,15.24398106
2016/4/14,-15.51266595,24.98499883,18.38408531,-30.83952771,-12.94809712,15.93120663
