Date,TCI
2015/10/9,13.96401024
2015/10/12,66.18126714
2015/10/13,69.36741163
2015/10/14,69.87907743
2015/10/15,70.07832302
2015/10/16,70.79531056
2015/10/19,70.34220231
2015/10/20,72.87981921
2015/10/21,73.52075257
2015/10/22,74.23554662
2015/10/23,75.90343544
2015/10/26,74.07182709
2015/10/27,76.62777221
2015/10/28,75.77770065
2015/10/29,75.4881111
2015/10/30,75.82643893
2015/11/2,76.50190673
2015/11/3,77.10563461
2015/11/4,77.52202217
2015/11/5,77.28118493
2015/11/6,76.26421537
2015/11/9,77.06036795
2015/11/10,77.60539591
2015/11/11,77.52700523
2015/11/12,77.74047067
2015/11/13,78.46813917
2015/11/16,78.70333955
2015/11/17,78.81941173
2015/11/18,78.91866324
2015/11/19,77.85028692
2015/11/20,79.73687396
2015/11/23,80.11880246
2015/11/24,78.67833382
2015/11/25,78.03107452
2015/11/27,78.06794185
2015/11/30,78.1569
2015/12/1,78.30414271
2015/12/2,78.44988483
2015/12/3,78.70695016
2015/12/4,78.77270997
2015/12/7,78.6934006
2015/12/8,78.81517313
2015/12/9,79.09808021
2015/12/10,80.08544891
2015/12/11,81.08934464
2015/12/14,82.52735139
2015/12/15,82.53708254
2015/12/16,82.57662031
2015/12/17,82.65003487
2015/12/18,82.66745497
2015/12/21,82.56919102
2015/12/22,82.63530151
2015/12/23,82.6219878
2015/12/24,82.63187049
2015/12/28,79.80654452
2015/12/29,78.7132407
2015/12/30,78.46941931
2015/12/31,77.20550016
2016/1/4,77.28163616
2016/1/5,77.68920764
2016/1/6,77.54023726
2016/1/7,77.13693268
2016/1/8,77.55247317
2016/1/11,76.43496783
2016/1/12,78.64486543
2016/1/13,78.28375852
2016/1/14,81.61377578
2016/1/15,82.02551332
2016/1/19,82.09509513
2016/1/20,82.07173892
2016/1/21,81.11143799
2016/1/22,81.96005186
2016/1/25,81.69695216
2016/1/26,81.14914663
2016/1/27,80.16910902
2016/1/28,78.52862002
2016/1/29,71.55713462
2016/2/1,75.408524
2016/2/2,80.07923455
2016/2/3,79.22069943
2016/2/4,79.65145709
2016/2/5,72.95025074
2016/2/8,71.87892245
2016/2/9,72.11325793
2016/2/10,72.26457006
2016/2/11,72.74184236
2016/2/12,73.70767512
2016/2/16,74.79896458
2016/2/17,74.13605446
2016/2/18,75.21835175
2016/2/19,76.08927767
2016/2/22,75.70199851
2016/2/23,76.01893719
2016/2/24,76.27402912
2016/2/25,75.82207773
2016/2/26,75.59713667
2016/2/29,75.84213254
2016/3/1,75.70196293
2016/3/2,75.46905143
2016/3/3,75.32066198
2016/3/4,76.03004845
2016/3/7,76.60174037
2016/3/8,76.44504322
2016/3/9,77.37369009
2016/3/10,77.34226442
2016/3/11,77.55177273
2016/3/14,76.66242767
2016/3/15,78.19163746
2016/3/16,78.85605555
2016/3/17,77.13969722
2016/3/18,73.27428625
2016/3/21,73.73288228
2016/3/22,72.58381221
2016/3/23,75.14768737
2016/3/24,75.67220718
2016/3/28,75.50405164
2016/3/29,75.91794362
2016/3/30,75.40936724
2016/3/31,74.79076312
2016/4/1,75.00854293
2016/4/4,75.01056863
2016/4/5,74.81517152
2016/4/6,74.97199561
2016/4/7,74.69139424
2016/4/8,70.43712561
2016/4/11,58.66808398
2016/4/12,58.36537163
2016/4/13,58.27730065
2016/4/14,58.83196039
2016/4/15,59.27471907
2016/4/18,58.2314136
2016/4/19,57.80257036
2016/4/20,58.4491565
2016/4/21,57.93734386
2016/4/22,57.49915252
2016/4/25,57.88499076
2016/4/26,57.79841487
2016/4/27,57.27474651
2016/4/28,58.9359359
2016/4/29,58.49727149
2016/5/2,58.76863865
2016/5/3,58.66813546
2016/5/4,58.10502641
2016/5/5,58.79782754
2016/5/6,58.62026697
2016/5/9,58.15411046
2016/5/10,58.39489259
2016/5/11,59.25764682
2016/5/12,59.93483425
2016/5/13,60.13706074
2016/5/16,60.40234572
2016/5/17,61.29230607
2016/5/18,62.38622371
2016/5/19,60.61300855
2016/5/20,60.97470317
2016/5/23,60.44211915
2016/5/24,60.26973934
2016/5/25,60.48600698
2016/5/26,60.93945857
2016/5/27,60.73897118
2016/5/31,60.23984216
2016/6/1,58.0720768
2016/6/2,58.51949398
2016/6/3,58.24134836
2016/6/6,56.72445211
2016/6/7,54.78963773
2016/6/8,55.35717024
2016/6/9,52.77309692
2016/6/10,53.73703969
2016/6/13,54.04068119
2016/6/14,55.00649124
2016/6/15,56.54718735
2016/6/16,55.49028686
2016/6/17,55.52713153
2016/6/20,55.46235016
2016/6/21,52.91755365
2016/6/22,54.15966227
2016/6/23,53.96653756
2016/6/24,52.39674301
2016/6/27,52.20784003
2016/6/28,52.53227157
2016/6/29,49.39420782
2016/6/30,49.44703595
2016/7/1,49.62279987
2016/7/5,46.53837355
2016/7/6,46.53021029
2016/7/7,46.18121912
2016/7/8,45.96352409
2016/7/11,45.7380824
2016/7/12,46.06215054
2016/7/13,46.29844854
2016/7/14,46.84204179
2016/7/15,47.22601166
2016/7/18,47.5321011
2016/7/19,47.49110652
2016/7/20,48.77125865
2016/7/21,46.87462395
2016/7/22,48.40926842
2016/7/25,48.21569627
2016/7/26,47.99769115
2016/7/27,47.69249061
2016/7/28,48.31962279
2016/7/29,47.73399435
2016/8/1,46.94946502
2016/8/2,46.49622108
2016/8/3,46.22950827
2016/8/4,45.70030758
2016/8/5,45.76987384
2016/8/8,45.52850185
2016/8/9,45.41913001
2016/8/10,45.26732591
2016/8/11,45.12891166
2016/8/12,45.1666658
2016/8/15,45.00593574
2016/8/16,44.9379262
2016/8/17,44.94558981
2016/8/18,43.736509
2016/8/19,43.6022645
2016/8/22,43.54800513
2016/8/23,43.30810855
2016/8/24,43.05504937
2016/8/25,42.98047556
2016/8/26,42.97678128
2016/8/29,42.88776123
2016/8/30,40.6674892
2016/8/31,41.32227546
2016/9/1,40.46069822
2016/9/2,39.37750226
2016/9/6,37.67900737
2016/9/7,38.67141037
2016/9/8,39.24749224
2016/9/9,38.70666166
2016/9/12,39.41369766
2016/9/13,39.08683267
2016/9/14,38.8408335
2016/9/15,38.72629847
2016/9/16,38.41652027
2016/9/19,37.99749948
2016/9/20,38.25710482
2016/9/21,37.26025085
2016/9/22,34.81206466
2016/9/23,33.62785767
2016/9/26,33.93756946
2016/9/27,33.47903067
2016/9/28,33.8199718
2016/9/29,33.09751288
2016/9/30,31.96392358
2016/10/3,31.73984836
2016/10/4,30.63475625
2016/10/5,30.93281539
2016/10/6,30.99901104
2016/10/7,32.99523401
